text,target
government,political
politics,political
governance,political
law,political
governmental,political
aristotle,political
politician,political
democratic,political
policy,political
republic,political
social,political
parliamentary,political
election,political
political science,political
nation,political
public administration,political
policy-making,political
country,political
politic,political
politicians,political
partisan,political
polity,political
economic,political
civil,political
public,political
policies,political
democracy,political
ideological,political
local government,political
political system,political
liberal,political
religious,political
debate,political
state,political
administration,political
presidency,political
parliament,political
presidential,political
monarchy,political
issue,political
influence,political
diplomatic,political
dukes,political
cultural,political
sovereign state,political
reform,political
corruption,political
police,political
elections,political
coalition,political
regime,political
ethics,political
anarchism,political
federation,political
society,political
authoritarianism,political
communism,political
federal government,political
ideology,political
aristocracy,political
tribe,political
power,political
negotiation,political
force,political
adam smith,political
warfare,political
city,political
clans,political
tribes,political
politically,political
company,political
plato,political
confucius,political
latin,political
polis,political
kingship,political
electoral,political
earls,political
leadership,political
counts,political
socio,political
tribute,political
constitutional,political
lordship,political
politicized,political
property,political
inheritance,political
apolitical,political
confiscation,political
semipolitical,political
united nations,political
individualist,political
struggle,political
allegiance,political
civic,political
espionage,political
conspiracy,political
treason,political
party,political
leaders,political
politburo,political
peace,political
opposition,political
peaceful,political
civilian,political
parties,political
jewish,political
affairs,political
gentile,political
critical,political
conflict,political
issues,political
convention,political
agenda,political
focused,political
legal,political
observance,political
criticism,political
focus,political
decades,political
conservative,political
discussion,political
interests,political
polices,political
support,political
question,political
attention,political
celibacy,political
challenges,political
slush,political
referring,political
involvement,political
pope,political
circles,political
whose,political
among,political
role,political
change,political
emerged,political
own,political
creating,political
self,political
campaign,political
dealing,political
taxation,political
groups,political
supporting,political
concerned,political
establishment,political
continuing,political
increasingly,political
matters,political
conflicts,political
petition,political
relations,political
efforts,political
communist,political
ongoing,political
views,political
focusing,political
highways,political
debates,political
future,political
recent,political
rather,political
legislation,political
internal,political
action,political
leading,political
aside,political
key,political
rule,political
opinion,political
current,political
step,political
hold,political
term,political
idea,political
independent,political
majority,political
strong,political
profile,political
despite,political
serious,political
movement,political
media,political
dead,political
greek language,political
communication,political
commerce,political
approach,political
politica,political
politique,political
koji,political
blok,political
osamu,political
sociopolitical,political
legislative,political
factional,political
populist,political
republican,political
electioneering,political
geopolitical,political
gubernatorial,political
leftist,political
judicial,political
centrist,political
reformist,political
journalistic,political
divisive,political
unprincipled,political
senatorial,political
prosecutorial,political
secessionist,political
rhetorical,political
moral,political
societal,political
congressional,political
intellectual,political
oppositional,political
rightist,political
bureaucratic,political
principled,political
separatist,political
sectarian,political
extremist,political
bonapartist,political
abstract,political
justice,political
socialism,political
curfew,political
revenue,political
anarchy,political
monopoly,political
principle,political
coin,political
international politics,political
soviet,political
indigent,political
guild,political
colonies,political
agreement,political
imperialism,political
ancient greek,political
french revolution,political
early modern english,political
profit,political
international,political
modern english,political
education,political
middle french,political
nationalism,political
bureaucracy,political
theologico,political
policymaking,political
politicised,political
policial,political
noncandidate,political
unbeholden,political
anticonstitutional,political
ideational,political
politick,political
demagogic,political
divisionary,political
particularistic,political
liberalist,political
establishmentarian,political
demagogical,political
leftish,political
geostrategic,political
electorial,political
unstatesmanlike,political
antitrade,political
megalomanic,political
empowerment,political
latinisation of names,political
governor,political
separatism,political
art of warfare,political
minimalist,political
monarchies,political
multinational,political
executive,political
privatization,political
divine right of kings,political
generalissimo,political
national,political
democracies,political
civilization,political
privy council,political
suzerainty,political
oligarchies,political
bloc,political
constitutional monarchy,political
reich,political
nationalist,political
tyrannies,political
neocolonialism,political
constitutional government,political
president,political
fiefdom,political
senate,political
interpol,political
ombudsman,political
nationally,political
corporatism,political
sovereignty,political
autocracy,political
populism,political
nationalise,political
constitutions,political
patriotism,political
military service,political
capitalism,political
liberalism,political
restoration,political
marxism,political
supranational,political
campaigner,political
nationwide,political
federal,political
manifesto,political
political parties,political
administrative,political
papacy,political
crossbencher,political
tory,political
france,political
preside,political
management,political
collectivism,political
nationality,political
sociality,political
australia,political
contract,political
senator,political
criminal law,political
environmentalism,political
confederation,political
diplomat,political
organisation,political
private law,political
benelux,political
position,political
dominion,political
commissioner,political
trial by jury,political
socialist,political
organization,political
protestant reformation,political
anarchist,political
secede,political
timocracy,political
politicize,political
treasurer,political
neoimperialism,political
rebellion,political
drunk driving,political
autocratic,political
cameroon,political
citizen,political
nationhood,political
globalization,political
financier,political
privatize,political
devolution,political
compatriot,political
rebel,political
political representation,political
federalization,political
govern,political
hierarchy,political
serbian,political
countryman,political
jurisdiction,political
socially,political
judiciary,political
activism,political
political orientation,political
quango,political
corporatist,political
statesperson,political
biopolitics,political
nativism,political
party system,political
mandarinate,political
fedzilla,political
statocracy,political
first amendment to the united states constitution,political
populist party,political
body politic,political
cosmopolitanism,political
antidisestablishmentarianism,political
scienda,political
acculturate,political
leader,political
euroregion,political
head of government,political
tenderpreneur,political
technical standard,political
weights and measures,political
political party,political
extortion,political
countryperson,political
the black plague,political
nepotism,political
postcommunism,political
territorialization,political
patronage,political
the wealth of nations,political
graft,political
japanophilia,political
embezzlement,political
preorganization,political
social control,political
illegal alien,political
neo colony,political
british empire,political
govern country,political
private enterprise,political
business administration,political
common good,political
private sector,political
ethical code,political
corporate law,political
foreign policy,political
political ideology,political
labour rights,political
minority government,political
executive branch,political
unite nation,political
privacy policy,political
people's army,political
cronyism,political
orange order,political
hold rein,political
political corruption,political
commonwealth of nation,political
political asylum,political
hobbes,political
world organization,political
great powers,political
political opposition,political
change management,political
nation state,political
unitary state,political
major party,political
prime minister,political
nation of islam,political
banana republic,political
arab league,political
kleptocracy,political
english civil war,political
political arithmetic,political
conservative party,political
doctrine of necessity,political
surgeon general,political
american colonies,political
political entity,political
american revolution,political
totalitarianism,political
proletarian,political
bourgeoisie,political
diplomacy,political
montesquieu,political
war,political
classless,political
tradition,political
terrorism,political
voltaire,political
egalitarianism,political
sovereign,political
individual,political
rights,political
freedom,political
fascist,political
branch of government,political
chief executive officer,political
equality for everyone,political
blow whistle,political
internal revenue service,political
legislative body,political
brain trust,political
cabinet minister,political
police force,political
operation research,political
vice president,political
top brass,political
company town,political
foreign affair,political
judicial power,political
american civil war,political
national day,political
party state,political
roman republic,political
a. v. dicey,political
nanny state,political
change of guard,political
washington d c,political
global politics,political
yellow horde,political
e government,political
grassroots democracy,political
minority leader,political
self organization,political
tax haven,political
secret society,political
third reich,political
commander in chief,political
human resource,political
war chest,political
social conservative,political
soviet union,political
atomic bomb,political
zero coupon bond,political
party whip,political
world war ii,political
hydrogen bomb,political
nuclear blackmail,political
cuban missile crisis,political
paul james,political
laissez-faire,political
gaullism,political
peronism,political
human rights,political
human development,political
william pitt the elder,political
house of lords,political
john dalberg-acton,political
political repression,political
police brutality,political
organized crime,political
drug trafficking,political
money laundering,political
human trafficking,political
political organization,political
party platform,political
niccolo machiavelli,political
political power,political
harold lasswell,political
political philosophy,political
political economy,political
columbia university,political
francis lieber,political
